url,type,fat_content,milk,calcium_content,texture,color
https://www.cheese.com/cornish-wild-garlic-yarg/,"semi-firm, artisan",,cow,,crumbly,pale yellow
https://www.cheese.com/cornish-yarg/,"hard, artisan",,cow,,"creamy, crumbly",
https://www.cheese.com/corra-linn/,firm,,sheep,,crumbly,ivory
https://www.cheese.com/cote-hill-blue/,"soft, artisan, blue-veined",,cow,,creamy,cream
https://www.cheese.com/cote-hill-snowdrop/,"soft, artisan, soft-ripened",,cow,,"creamy, smooth",white
https://www.cheese.com/cotherstone/,"semi-hard, artisan",45%,cow,,"crumbly, open",pale yellow
https://www.cheese.com/cotija/,"hard, artisan",,cow,,"crumbly, dense",white
https://www.cheese.com/cotswold/,semi-firm,,cow,,"creamy, smooth",
https://www.cheese.com/cottage-cheese/,"soft, artisan, processed",,cow,,"creamy, crumbly",white
https://www.cheese.com/cottage-cheese-australian/,fresh soft,,cow,,"crumbly, firm, grainy",white
https://www.cheese.com/cougar-gold/,semi-soft,14%,cow,,"creamy, crumbly, crystalline, firm, smooth",white
https://www.cheese.com/coulommiers/,"soft, artisan",,cow,,creamy,
https://www.cheese.com/counting-sheepand-goats/,"soft, soft-ripened",,"cow, goat, sheep",,"creamy, soft",white
https://www.cheese.com/country-morning/,"hard, artisan",,cow,,"creamy, crumbly",pale yellow
https://www.cheese.com/coupole/,"soft, artisan",,goat,,"buttery, creamy, dense, fluffy",pale yellow
https://www.cheese.com/couronne-lochoise/,"soft, artisan, soft-ripened",,goat,,"buttery, creamy, smooth, soft-ripened",ivory
https://www.cheese.com/coverdale/,"hard, artisan",,cow,,"creamy, firm, open",white
https://www.cheese.com/cows-milk-gouda/,"semi-hard, artisan",,cow,,"compact, creamy, crumbly, dense",
https://www.cheese.com/cracked-pepper-chevre/,"semi-soft, artisan",5 g/100g,goat,,"creamy, crumbly, firm",white
https://www.cheese.com/cranborne/,"soft, artisan, soft-ripened",,cow,,"buttery, creamy",pale yellow
https://www.cheese.com/cratloe-hills/,"hard, artisan",,sheep,,"firm, grainy, open",pale yellow
https://www.cheese.com/cravero-parmigiano-reggiano/,"hard, artisan",,cow,,dense,golden yellow
https://www.cheese.com/crayeux-de-roncq/,"soft, artisan, soft-ripened",45%,cow,,"creamy, grainy",orange
https://www.cheese.com/cream-cheese/,"fresh soft, processed",,cow,,"creamy, spreadable",white
https://www.cheese.com/cream-cheesy-bliss/,soft,,,,"creamy, spreadable",white
https://www.cheese.com/cream-havarti/,"semi-soft, processed",45%,cow,,smooth,pale yellow
https://www.cheese.com/creamy-gouda/,semi-soft,,cow,,creamy,cream
https://www.cheese.com/creamy-lancashire/,,,cow,,fluffy,pale yellow
https://www.cheese.com/crema-de-blue/,"semi-soft, artisan, blue-veined",,"cow, sheep",,creamy,cream
https://www.cheese.com/crema-mexicana/,soft,,cow,,"creamy, smooth, spreadable",white
https://www.cheese.com/crema-agria/,fresh soft,,cow,,"creamy, spreadable",white
https://www.cheese.com/cremet/,"soft, artisan, soft-ripened",,"cow, goat",,"creamy, smooth, soft, soft-ripened",white
https://www.cheese.com/cremig-extra-wurzig-bergkase-aus-dem-schweizer-jura/,"hard, artisan",51%,cow,,creamy,cream
https://www.cheese.com/cremont/,"soft, artisan",14%,"cow, goat",,"creamy, smooth",cream
https://www.cheese.com/crenoble/,semi-soft,,,,"creamy, open, smooth",pale yellow
https://www.cheese.com/crescenza-di-bufala/,"fresh soft, artisan",,water buffalo,,"buttery, creamy, spreadable",white
https://www.cheese.com/crescenza/,fresh soft,,cow,,"buttery, creamy, spreadable",white
https://www.cheese.com/cressy-blu/,"semi-hard, blue-veined",,cow,,"creamy, crumbly, firm",pale yellow
https://www.cheese.com/criffel/,"semi-hard, artisan",,cow,,"creamy, smooth",straw
https://www.cheese.com/criollo-cheese/,semi-firm,,cow,,smooth,pale yellow
https://www.cheese.com/crocodile-tear/,"soft, semi-soft, artisan, soft-ripened",,goat,,"creamy, firm",white
https://www.cheese.com/croghan/,"semi-soft, artisan",,goat,,supple,white
https://www.cheese.com/crotonese/,"semi-hard, artisan",,sheep,,compact,pale yellow
https://www.cheese.com/crottin-de-champcol/,soft,,goat,,"crumbly, dense",white
https://www.cheese.com/crottin-de-chavignol/,"firm, soft-ripened",,goat,,crumbly,white
https://www.cheese.com/crowdie/,fresh soft,,cow,,"creamy, crumbly",white
https://www.cheese.com/crowley/,"semi-soft, hard, artisan",,cow,,"creamy, crumbly, firm, smooth",pale yellow
https://www.cheese.com/crozier/,"semi-soft, artisan, blue-veined",,sheep,,"buttery, chalky, creamy, crumbly",pale yellow
https://www.cheese.com/crucolo/,"semi-hard, artisan",,cow,,buttery,ivory
https://www.cheese.com/crumbly-lancashire/,hard,,cow,,crumbly,pale yellow
https://www.cheese.com/cremonte/,"soft, blue-veined",60%,cow,,"creamy, smooth",ivory
https://www.cheese.com/cuajada/,soft,,"cow, sheep",,"creamy, smooth",
https://www.cheese.com/cubetto/,"semi-soft, artisan",,"buffalo, cow",,"compact, smooth",ivory
https://www.cheese.com/cuor-di-burrata/,soft,,,,"creamy, smooth",white
https://www.cheese.com/cup-cheese/,"soft, artisan",,cow,,"creamy, spreadable",
https://www.cheese.com/cure-nantais/,"soft, artisan",40%,cow,,"open, sticky, supple",straw
https://www.cheese.com/curworthy/,semi-hard,48%,cow,,creamy,cream
https://www.cheese.com/cwmtawe-pecorino/,hard,,sheep,,creamy,orange
https://www.cheese.com/cypress-grove-chevre/,,,goat,,,
https://www.cheese.com/laffine-au-chablis/,"soft, semi-soft",,cow,,"creamy, soft",pale yellow
https://www.cheese.com/lamuse-brabander-goat-gouda/,hard,,cow,,smooth,brownish yellow
https://www.cheese.com/lamuse-signature-gouda/,"hard, artisan",,cow,,"crumbly, crystalline, smooth",orange
https://www.cheese.com/laveyronnais/,soft,,cow,,,white
https://www.cheese.com/lecir-de-laubrac/,"soft, artisan",,cow,,smooth,white
https://www.cheese.com/lempereur/,"soft, artisan",15%,,,"creamy, supple",cream
https://www.cheese.com/letivaz/,hard,,cow,,buttery,pale yellow
https://www.cheese.com/letoile-de-st-raymond/,soft,35%,,,"buttery, creamy",ivory
https://www.cheese.com/la-bonaparte/,"soft, soft-ripened",28%,cow,,"creamy, soft, soft-ripened, supple",cream
https://www.cheese.com/la-casatella/,"fresh soft, artisan",,cow,,"compact, soft",white
https://www.cheese.com/la-couronne-fort-aged-comte/,semi-hard,,cow,,dense,pale yellow
https://www.cheese.com/la-fleurie/,"soft, artisan, soft-ripened",,cow,,"buttery, runny, smooth",ivory
https://www.cheese.com/la-peral/,"semi-soft, blue-veined",,cow,,"creamy, firm, grainy",pale yellow
https://www.cheese.com/la-pyramide/,"semi-soft, artisan",,goat,,dense,ivory
https://www.cheese.com/la-retorta/,"soft, semi-soft",,sheep,,"creamy, runny",pale yellow
https://www.cheese.com/la-rumeur/,"soft, soft-ripened",,cow,,"buttery, creamy, runny, supple",cream
https://www.cheese.com/la-sauvagine/,soft,32%,cow,,"buttery, creamy, runny, supple",ivory
https://www.cheese.com/la-sauvagine-reserve/,soft,38%,cow,,"buttery, creamy, runny, supple",ivory
https://www.cheese.com/la-serena/,soft,50%,sheep,,"creamy, spreadable",straw
https://www.cheese.com/la-taupiniere/,"soft, artisan",45%,goat,,"creamy, smooth",white
https://www.cheese.com/la-tur/,"soft, artisan, soft-ripened",,"cow, goat, sheep",,"creamy, fluffy, soft-ripened",straw
https://www.cheese.com/la-vache-qui-rit/,"semi-soft, processed",,cow,,"creamy, smooth, spreadable",pale yellow
https://www.cheese.com/labneh/,soft,,cow,,creamy,white
https://www.cheese.com/lacey-grey/,"soft, artisan, soft-ripened",,goat,,"creamy, soft",white
https://www.cheese.com/laclare-farms-chandoka/,"semi-firm, artisan",,"cow, goat",,creamy,ivory
https://www.cheese.com/laclare-farms-cheddar/,"semi-soft, artisan",,goat,,creamy,ivory
https://www.cheese.com/laclare-farms-chevre/,fresh soft,,goat,,creamy,white
https://www.cheese.com/laclare-farms-evalon/,"semi-hard, artisan",,goat,,creamy,ivory
https://www.cheese.com/laclare-farms-evalon-cummin/,"semi-hard, artisan",,goat,,creamy,ivory
https://www.cheese.com/laclare-farms-evalon-fenugreek/,"semi-hard, artisan",,goat,,creamy,pale yellow
https://www.cheese.com/laclare-farms-fondry-jack/,"fresh soft, artisan",,goat,,creamy,ivory
https://www.cheese.com/laclare-farms-martone/,semi-soft,,goat,,creamy,white
https://www.cheese.com/laclare-farms-raw-goats-milk-cheddar/,"semi-soft, artisan",,goat,,creamy,ivory
https://www.cheese.com/laclare-ziege-zacke-blue/,"semi-hard, blue-veined",,"cow, goat",,"creamy, firm",cream
https://www.cheese.com/lacy-swiss/,"semi-firm, processed",,cow,,"creamy, open, supple",ivory
https://www.cheese.com/lady-jane/,"semi-soft, artisan, soft-ripened",,cow,,"creamy, dense, soft-ripened",pale yellow
https://www.cheese.com/laganory/,firm,,cow,,"brittle, compact, dry, grainy",pale yellow
https://www.cheese.com/laguiole/,"semi-hard, artisan",,cow,,"creamy, firm, supple",straw
https://www.cheese.com/lairobell/,"hard, artisan",,goat,,"crumbly, open",pale yellow
https://www.cheese.com/lajta/,soft,50%,cow,,"creamy, open",yellow
https://www.cheese.com/lake-district-extra-mature-cheddar/,"semi-soft, artisan",,cow,,creamy,pale yellow
https://www.cheese.com/lake-district-mature-cheddar/,"soft, artisan",,cow,,"crumbly, dense",pale yellow
https://www.cheese.com/lamb-chopper/,hard,,sheep,,"dense, firm, smooth",ivory
https://www.cheese.com/lanark-blue/,"semi-soft, artisan, blue-veined",,sheep,,"brittle, grainy",
https://www.cheese.com/lanark-white/,hard,,sheep,,"buttery, crumbly, flaky",pale white
https://www.cheese.com/lancashire-smoked/,hard,,cow,,"buttery, crumbly",red
https://www.cheese.com/landaff/,"semi-hard, artisan",,cow,,"creamy, firm, open",straw
https://www.cheese.com/langres/,semi-soft,,cow,,"crumbly, firm",orange
https://www.cheese.com/lappi/,semi-soft,,cow,,"creamy, firm, open, smooth",yellow
https://www.cheese.com/largo/,"soft, artisan",,cow,,"creamy, smooth",pale yellow
https://www.cheese.com/laruns/,"soft, artisan",,sheep,,"brittle, firm, supple",straw
https://www.cheese.com/latteria-navel/,"hard, soft-ripened",,cow,,brittle,straw
https://www.cheese.com/latteria-san-biagio/,"soft, artisan",,cow,,creamy,white
https://www.cheese.com/laura-chenel-taupiniere/,"soft, artisan",,goat,,"creamy, soft",white
https://www.cheese.com/laura-chenel-tome/,"firm, artisan",,goat,,"crumbly, dense, firm",ivory
https://www.cheese.com/laura-chenels-cabecou/,fresh firm,,goat,,"creamy, dense, smooth",cream
https://www.cheese.com/lavistown/,"semi-hard, artisan",,cow,,"crumbly, dry, firm",yellow
https://www.cheese.com/le-brebiou/,"semi-soft, artisan, soft-ripened",26%,sheep,,"creamy, firm, smooth",white
https://www.cheese.com/le-brin/,"semi-soft, artisan",40%,cow,,"creamy, spreadable",white
https://www.cheese.com/le-cendrillon/,soft,25%,goat,,"creamy, smooth",ivory
https://www.cheese.com/le-chevrot/,soft,50%,goat,,"creamy, dense, firm",cream
https://www.cheese.com/le-conquerant-camembert/,"soft, artisan",,cow,,soft-ripened,white
https://www.cheese.com/le-conquerant-demi-pont-leveque/,"soft, artisan",,cow,,"chalky, creamy, soft",
https://www.cheese.com/le-double-joie/,"soft, soft-ripened",27%,"cow, goat",,"buttery, creamy, runny",cream
https://www.cheese.com/le-duc-vacherin/,"soft, soft-ripened",,cow,,"smooth, soft",ivory
https://www.cheese.com/le-fium-orbo/,soft,50%,"goat, sheep",,soft-ripened,
https://www.cheese.com/le-gruyere-aop/,hard,49-53%,cow,,compact,
https://www.cheese.com/le-lacandou/,"soft, artisan",45%,sheep,,creamy,pale yellow
https://www.cheese.com/le-marquis-chevre/,"soft, artisan",,goat,,soft,ivory
https://www.cheese.com/le-marechal/,hard,,cow,,"firm, smooth",yellow
https://www.cheese.com/le-moutier/,fresh firm,,goat,,firm,white
https://www.cheese.com/le-reflet-de-portneuf/,soft,30%,,,"buttery, creamy",cream
https://www.cheese.com/le-st-raymond/,soft,20%,,,"smooth, supple",ivory
https://www.cheese.com/le-wavreumont/,"semi-soft, artisan",,cow,,"buttery, creamy, semi firm, smooth, soft",pale yellow
https://www.cheese.com/leafield/,"hard, artisan",48%,sheep,,chewy,pale yellow
https://www.cheese.com/lebbene/,soft,45%,"goat, sheep",,,white
https://www.cheese.com/leerdammer/,semi-hard,,cow,,"creamy, open, smooth",white
https://www.cheese.com/legacy/,"semi-hard, artisan",,cow,,creamy,pale yellow
https://www.cheese.com/legato/,"soft, soft-ripened",,cow,,"creamy, soft-ripened",pale yellow
https://www.cheese.com/lemon-fetish/,"fresh firm, artisan",,sheep,,"crumbly, dry",white
https://www.cheese.com/lemon-myrtle-chevre/,"fresh firm, artisan",45%,goat,,"creamy, firm, smooth",white
https://www.cheese.com/leonora/,"semi-soft, artisan",,goat,,soft-ripened,white
https://www.cheese.com/les-calendos/,"soft, soft-ripened",,cow,,"creamy, smooth, supple",cream
https://www.cheese.com/leyden/,"semi-hard, artisan",30-40%,cow,,firm,yellow
https://www.cheese.com/liburnski-sir/,"hard, artisan",,"cow, goat, sheep",,"creamy, open",golden yellow
https://www.cheese.com/lil-moo/,soft,,cow,,"creamy, dense, spreadable",pale yellow
https://www.cheese.com/liliputas/,semi-hard,50%,cow,,"elastic, firm",yellow
https://www.cheese.com/limburger/,"semi-soft, smear-ripened",42%,cow,497 mg/100g,"crumbly, firm, smooth",straw
https://www.cheese.com/lincoln-log/,"semi-soft, soft-ripened",,goat,,"creamy, dense",white
https://www.cheese.com/lincolnshire-poacher/,hard,,cow,,creamy,yellow
https://www.cheese.com/lindale/,"semi-soft, artisan",,cow,,"creamy, smooth",pale yellow
https://www.cheese.com/lindy-hop/,"semi-soft, blue-veined",,cow,,creamy,straw
https://www.cheese.com/lingot-des-causses/,soft,,goat,,"creamy, firm",
https://www.cheese.com/lingot-saint-bousquet-dorb/,"soft, artisan",,goat,,smooth,white
https://www.cheese.com/liptauer/,"fresh soft, artisan",,cow,,,brown
https://www.cheese.com/little-bloom-prairie/,"soft, soft-ripened",,goat,,"creamy, dense, smooth, soft-ripened",white
https://www.cheese.com/little-colonel/,"semi-soft, artisan",,cow,,"smooth, supple",pale yellow
https://www.cheese.com/little-dragon/,soft,,goat,,creamy,white
https://www.cheese.com/little-napoleon/,"hard, artisan",,goat,,firm,pale yellow
https://www.cheese.com/little-qualicum-raclette/,"semi-soft, artisan",,cow,,"firm, supple",ivory
https://www.cheese.com/little-rydings/,"soft, artisan",48%,sheep,,"creamy, smooth, springy",white
https://www.cheese.com/little-ypsi/,"semi-soft, artisan",,goat,,"buttery, firm",ivory
https://www.cheese.com/livarot/,"soft, artisan",,cow,,creamy,
https://www.cheese.com/llanboidy/,"hard, artisan",,cow,,"firm, smooth",white
